Asset ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMDescription,Total Quantity Reserved,Stock On Hand
128963,WIM0000951,Oil Mobil DTE 846 / Масло,O0005116,Litr,0.0000000,157791.4000000
128964,WIM0000952,Oil Mobil DTE Heavy / Масло,5120,Litr,0.0000000,10200.0000000
128965,WIM0000953,Oil Mobil DTE Light / Масло,5121,Litr,0.0000000,199.0000000
128966,WIM0000954,Oil Mobil DTE Medium / Масло,5123,Litr,0.0000000,380.0000000
128967,WIM0000955,Oil Mobil Vacuoline 533 / Масло,5130,Litr,0.0000000,400.0000000
128968,WIM0000956,Oil Mobilgear 600XP 100 / Масло,5128,Litr,0.0000000,185.0000000
128969,WIM0000957,Oil Mobilgear 600XP 150 / Масло,5124,Litr,0.0000000,200.0000000
128970,WIM0000958,Oil Mobilgear 600XP 220 / Масло,5119,Litr,0.0000000,198.0000000
128971,WIM0000959,Oil Mobilgear 600XP 320 / Масло,5129,Litr,0.0000000,73.0000000
128972,WIM0000960,Oil Nuto H 46 / Масло,5122,Litr,0.0000000,200.0000000
128974,WIM0000962,"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",2041,Kg,0.0000000,0.0000000
128975,WIM0000963,Emergency button Гог push button / Аварийная кнопка для нажимной кнопки,1534,Each,0.0000000,1.0000000
128976,WIM0000964,Push button / нажимная кнопка,1533,Each,0.0000000,1.0000000
128977,WIM0000965,"""BALL BEARING Ø100 1047850 FOR BIN LIFTER""",3109,Each,0.0000000,4.0000000
128978,WIM0000966,"""FILTER ELEMENT FOR VACUUM LIFTER 83461"" - POLYESTER - 141 ANTISTATIC",3106,Each,0.0000000,1.0000000
128979,WIM0000967,"""FLANGE BEARING Ø90 1047839 FOR BIN LIFTER""",3111,Each,0.0000000,1.0000000
128980,WIM0000968,"""FLANGE BEARING Ø90 1047850 FOR BIN LIFTER""",3112,Each,0.0000000,1.0000000
128981,WIM0000969,"""GASKET ORANGE FOR VACUUM LIFTER 83462"" - NATURAL RUBBER 1407x70x20",3107,Each,0.0000000,3.0000000
128982,WIM0000970,"""HOUSING BEARING Ø55 FOR DRUM LIFTER""",3108,Each,0.0000000,1.0000000
128983,WIM0000971,"0P2405AA, XXW I/F BOARD 220 VDC / Интерфейсная плата",4802,Each,0.0000000,2.0000000
128984,WIM0000972,"0P2407AA, XXW I/F BOARD 400 VDC / Интерфейсная плата",4803,Each,0.0000000,5.0000000
128985,WIM0000973,"0P6258AB, PCA I/F PSU 110 VDC / Интерфейсная плата",4804,Each,0.0000000,4.0000000
128986,WIM0000974,"120-PC-101A/B, 201 A/B/ TSP 6X3-17/ Mechanical SEAL",3285,Set,0.0000000,1.0000000
128988,WIM0000976,"130-PC-006A/B/ TSP 3X1,5-9/ Mechanical SEAL",3286,Set,0.0000000,1.0000000
