Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
84486,, ER70S-3 2.4mm lik filler wire,,2
84487,,ER70S-3 2.4mm lik filler wire,,2
84488,,ER70S-3 2.4mm lik filler wire,,2
84489,,ER70S-3 2.4mm lik filler wire,,2
84518,,ER70S-6 filler wire ,,2
84519,,electrodeMETRODE/электрод ER70S-6  ,,2
84520,,ER 316 filler wire ,,2
84521,Valve Repair Kit 5807-Typ,Valve Repair Kit 5807-Type 143,,2
84522,18609,18609,,2
84644,E RED,E RED,,2
84720,,ER70S filler wire,,2
84721,,Багет,,2
84722,conduct ,conduct ,,2
84724,,ER70,,2
84747,,ER70S-3 filler wire,,2
84748,isofle,isofle,,2
84749,,ER716 filler wire,,2
84753,,E7016 elektrerd,,2
84754,,ER70S-3 filler wire,,2
84755,,ER70S-3 filler wire,,2
84756,bcvbccv,bcvbccv,,2
84768,6269,6269,,2
84769,,Electrode / Электрод E7016- Ø2.4mm FLAG SHIP CHINA p/n: ,,2
84770,,ER70S filler wire,,2
84776,,"it is requested to repare pump, due to steam leaking on pump casing.",,2
84777,,"it is requested to repare pump, due to steam leaking on pump casing.",,2
84787,,"The pump can not generate the head. Moreover, after stoppage it idling for 2 minutes, which was not observed during previous start-up. It is requested to check and fix the issue.",,2
84788,,"The pump can not generate the head. Moreover, after stoppage it idling for 2 minutes, which was not observed during previous start-up. It is requested to check and fix the issue.",,2
84814,0000041,0000041,,2
84821,O0005305,O0005305,,2
84822,2605,2605,,2
84823,5305,5305,,2
84824,2605,2605,,2
84845,46291,46291,,2
84850,,Silicon oil,,2
87649,,Sement,,2
87652,43064,43064,,2
87665,,Repair and Calibration. ,,2
87666,,Repair and Calibration. ,,2
87667,,ER70S-3 filler wire,,2
87709,vvczvc,vvczvc,,2
87710,,"""Ящик управления освещения  (ЯУО) серии 9602 """,,2
87711,,Аккумуляторная воздуходувка,,2
87712,,"""Лестница трансформер  3-секционная""",,2
87713,,"Удлинитель на катушке 30 м 4 розетки (3*2,5 КГ)",,2
87714,,Лампа светодиодная LED-A60-VC 12Вт 230В Е27 4000К 1080Лм,,2
87715,,Лампа светодиодная LED-СВЕЧА-VC 11Вт 230В Е27 4000К 820Лм,,2
87716,,Клемма соединительная,,2
87717,,Блок питания для светодиодов (Дроссель) ,,2
87718,,Вилка однофазная,,2
87719,,"Провод ПВС 3х2,5 (кабель медный многожильный)",,2
87720,,Колодка 4 гнезда с заземлением,,2
87721,,Светильник овальный ,,2
87722,,Сетевой фильтр,,2
87723,, Светодиодная встраиваемая панель,,2
87724,WIN0046324,WIN0046324,,2
87725,win0046323,win0046323,,2
87726,,ящик управления,,2
87731,00005230,00005230,,2
87732,,EniCU электрод,,2
87733,,asdasd asd as asd asd ,,2
87736,0000049,0000049,,2
87745,asdf,,,2
87746,asdf,,,2
87754,,ER316L  electrod,,2
87755,,ER70l filler wire,,2
87756,0043064,0043064,,2
87771,,ER70S-3 filler wire,,2
87772,0043019,0043019,,2
87779,3322,3322,,2
87780,5274,5274,,2
87781,0000054,0000054,,2
87878,0000059 ,0000059 ,,2
87879,,ER70S-3 filler wire,,2
87880,vol,vol,,2
87881,гидро,гидро,,2
87882,43077,43077,,2
87883,сульфа,сульфа,,2
87884,калий,калий,,2
87885,https://www.airproducts.u,https://www.airproducts.uz/careers.php,,2
87886,суль,суль,,2
87887,,Electrode / Электрод ER 016-B2 Ø2.4mm FLAG SHIP,,2
87888,wim00002783,wim00002783,,2
87889,O0005256,O0005256,,2
87922,16319,16319,,2
