Asset ID,Parent Asset ID,Asset Description,Asset Number
95071,94939,H.P STEAM SILENCER,120-XS-205
95296,94939,Saturated Steam(S) / Nitrogen,120-PSV-2135A
95297,94939,Saturated Steam(S) / Nitrogen,120-PSV-2135B
95298,94939,Saturated Steam(S) / Nitrogen,120-PSV-2135C
97197,94939,CONTROL VALVE,120-PV-2176
97376,94939,ANALYZER,120-AT-2102
97377,94939,ANALYZER,120-AT-2104
97378,94939,FLOW ELEMENT,120-FE-2101
97379,94939,TRANSMITTER_DP FLOW,120-FT-2101
97380,94939,TRANSMITTER_DP FLOW,120-FT-2103
97381,94939,TRANSMITTER_DP LEVEL,120-LT-2101A
97382,94939,TRANSMITTER_DP LEVEL,120-LT-2101B
97383,94939,TRANSMITTER_DP LEVEL,120-LT-2101C
97384,94939,TRANSMITTER_DP LEVEL,120-LT-2107
97385,94939,TRANSMITTER_PRESSURE,120-PT-2133A
97386,94939,TRANSMITTER_PRESSURE,120-PT-2133B
97387,94939,TRANSMITTER_PRESSURE,120-PT-2133C
97389,94939,TRANSMITTER_TEMPERATURE,120-TT-2134
97390,94939,ON-OFF VALVE,120-XV-2104
97395,94939,TEMPERATURE GAUGE,120-TG-2136
97396,94939,LEVEL GAUGE,120-LG-2102
97535,94939,TRANSMITTER_TEMPERATURE,120-TT-2161
97536,94939,PRESSURE GAUGE,120-PG-2162
95210,94946,Saturated Steam(S) / Nitrogen,120-PSV-1008
96304,94946,TRANSMITTER_DP LEVEL,120-LT-1003
96305,94946,CONTROL VALVE,120-LV-1003
96324,94946,LEVEL GAUGE,120-LG-1004
96325,94946,PRESSURE GAUGE,120-PG-1001
96328,94946,TEMPERATURE GAUGE,120-TG-1001
95276,94947,Saturated Steam(S) / Nitrogen,120-PSV-2008
97243,94947,TRANSMITTER_DP LEVEL,120-LT-2003
97244,94947,CONTROL VALVE,120-LV-2003
97263,94947,LEVEL GAUGE,120-LG-2004
97264,94947,PRESSURE GAUGE,120-PG-2001
97267,94947,TEMPERATURE GAUGE,120-TG-2001
96597,94948,TRANSMITTER_TEMPERATURE,120-TT-1004
96598,94948,LOCAL INDICATOR,120-TI-1004L
97537,94949,TRANSMITTER_TEMPERATURE,120-TT-2004
97538,94949,LOCAL INDICATOR,120-TI-2004L
95245,94952,Saturated Steam(S) / Nitrogen,120-PSV-1195
95838,94952,FLOW ELEMENT,120-FE-1059
95839,94952,TRANSMITTER_DP FLOW,120-FT-1059A
95840,94952,TRANSMITTER_DP FLOW,120-FT-1059B
95841,94952,TRANSMITTER_DP FLOW,120-FT-1059C
95844,94952,TRANSMITTER_DP LEVEL,120-LT-1041
95845,94952,TRANSMITTER_DP LEVEL,120-LT-1042
95858,94952,TRANSMITTER_PRESSURE,120-PT-1071
95870,94952,LEVEL GAUGE,120-LG-1043
95871,94952,PRESSURE GAUGE,120-PG-1041
95194,94953,Steam Condensate(2Phase)/LIQUID,120-PSV-0057A
95195,94953,Steam Condensate(2Phase)/LIQUID,120-PSV-0057B
95311,94953,Superheated Steam(S) / Nitrogen,120-PSV-2195
96771,94953,FLOW ELEMENT,120-FE-2059
96772,94953,TRANSMITTER_DP FLOW,120-FT-2059A
96773,94953,TRANSMITTER_DP FLOW,120-FT-2059B
96774,94953,TRANSMITTER_DP FLOW,120-FT-2059C
96777,94953,TRANSMITTER_DP LEVEL,120-LT-2041
96778,94953,TRANSMITTER_DP LEVEL,120-LT-2042
96791,94953,TRANSMITTER_PRESSURE,120-PT-2071
96803,94953,LEVEL GAUGE,120-LG-2043
96804,94953,PRESSURE GAUGE,120-PG-2041
96809,94953,TEMPERATURE GAUGE,120-TG-2041
95442,95020,Condensate Backwash Filter Motor,120-XF-003-XF-01A-M
95443,95020,Condensate Backwash Filter Motor,120-XF-003-XF-01B-M
97596,95020,TRANSMITTER_DP PRESSURE,120-PDT-0304
97597,95020,ON OFF VALVE,120-KV-0301
97598,95020,SOLENOID VALVE,120-KY-0301
97599,95020,VALVE LIMIT SWITCH,120-KZSH-0301
97600,95020,VALVE LIMIT SWITCH,120-KZSL-0301
