Requisition ID,Requisition Number,Suggested Supplier Contact ID,Delivery Location,Requisition Description,Requisitioned By Contact ID,Required By Date Time,Work Order ID,Account Code ID,Comment,User Defined Text Box,User Defined Date Time,Requisition User Defined1ID,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Raised Date Time,Is From Replenish Stock,Approval Path ID
74,125,1448,Uzbekistan GTL Plant ,Regarding the hiring of welders through outsourcing department in order to ensure the stable operation of the plant's technological equipment,1582,22/03/2023 2:27:02 PM,,18060,,,,,1582,22/02/2023 2:27:02 PM,1582,22/02/2023 2:49:49 PM,22/02/2023 2:27:02 PM,,36
75,128,1448,Uzbekistan GTL Plant ,Regarding the hiring of welders through outsourcing department in order to ensure the stable operation of the plant's technological equipment,1582,22/03/2023 2:50:17 PM,,18054,Declined due to unauthorised approval due to $0 value entered.,Technical task was already issued and approved,,,1582,22/02/2023 2:50:17 PM,1582,28/02/2023 1:38:02 PM,22/02/2023 2:50:17 PM,,
76,127,1448,Uzbekistan GTL Plant,The measurement of vibration,1687,22/03/2023 2:44:15 PM,,,,,,,1687,22/02/2023 2:44:15 PM,1687,22/02/2023 2:57:22 PM,22/02/2023 2:44:15 PM,,33
77,132,1448,Uzbekistan GTL PLant,V-belt(Toothed)/клиновой ремень(зубчатый)/(174-XF-001-CB-01A/B)(171-XP-001-CB-01A/B)(176-XP-013-CB-01/02A/B)(171-XP-013-PX-08)(177-XP-006-CB-01A/B/C/D/E/F)(171-XP-001-CB-02A/B),1155,31/03/2023 5:24:16 PM,,18045,"Please palce tech specfication in the tech spec area of the catalogue, simply importing a document is not the way to create new item.","Rubber,Polyester,polyamide fabric/каучук, полиэсте",,,1155,22/02/2023 5:24:16 PM,1155,7/11/2023 11:01:50 AM,22/02/2023 5:24:16 PM,,33
78,134,1448,vbcvb,cvbcv,1,23/02/2023 5:41:54 PM,,,cvbcvb,cvbc,,,1,23/02/2023 5:41:54 PM,1,23/02/2023 5:43:02 PM,23/02/2023 5:41:54 PM,,33
79,135,1448,nbv,vbnvbn,1,23/02/2023 5:44:07 PM,,,vbn,vnv,,,1,23/02/2023 5:44:07 PM,1,23/02/2023 5:44:51 PM,23/02/2023 5:44:07 PM,,33
80,137,,,,667,24/02/2023 10:45:50 AM,,,Please assign Classificator code (Account code),,,,667,24/02/2023 10:45:50 AM,1906,27/02/2023 11:15:32 AM,24/02/2023 10:45:50 AM,,
81,138,1448,"""Uzbekistan GTL"" LLC",Ecology courses for HSE team,1902,24/02/2023 3:53:06 PM,,,Please Assign classificator code (Account code),,,,1902,24/02/2023 3:53:06 PM,1906,27/02/2023 11:16:11 AM,24/02/2023 3:53:06 PM,,36
82,139,,fvfv,fvfv,1687,28/02/2023 9:11:06 AM,,,fvf,fvfv,,,1687,28/02/2023 9:11:06 AM,1687,28/02/2023 9:11:50 AM,28/02/2023 9:11:06 AM,,
83,142,1448,Uzbekistan GTL ,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,703,28/02/2023 10:50:15 AM,,18125,,,,,703,28/02/2023 10:50:15 AM,1909,3/04/2023 9:36:14 AM,28/02/2023 10:50:15 AM,,35
84,145,1448,Uzbekistan GTL Plant ,Welding consumables and goods required for maintenance welding works,1582,28/03/2023 11:37:09 AM,,18038,,,1/03/2023 12:00:00 AM,,1582,28/02/2023 11:37:09 AM,1582,7/08/2023 4:35:14 PM,28/02/2023 11:37:09 AM,,
85,146,1448,Uzbekistan GTL plant ,to covering unloaded perlite from Main Heat Exchanger of Unit 10,1920,9/03/2023 3:01:27 PM,,18088,,,,,1920,1/03/2023 3:01:27 PM,1909,16/03/2023 12:21:07 PM,1/03/2023 3:01:27 PM,,34
86,147,,,,1,3/03/2023 10:12:52 AM,,,,,,,1,3/03/2023 10:12:52 AM,1,3/03/2023 10:13:28 AM,3/03/2023 10:12:52 AM,,
87,150,1448,Uzbikistan GTL plant,Work Shop Equipment ,1463,3/04/2023 12:00:00 AM,,18048,,Equipment for CofE,,,1463,3/03/2023 4:56:10 PM,1909,28/03/2023 3:08:11 PM,3/03/2023 4:56:10 PM,,33
88,151,1448,Uzbekistan GTL Plant,160-XP-005-CB-02B-M Repairing burnt pump,761,17/04/2023 8:30:41 AM,28370,10,,,,,761,6/03/2023 8:30:41 AM,1909,23/03/2023 2:33:16 PM,6/03/2023 8:30:41 AM,,33
89,153,,,,667,11/03/2023 1:50:34 PM,,,,,,,667,11/03/2023 1:50:34 PM,667,11/03/2023 1:52:56 PM,11/03/2023 1:50:34 PM,,
90,157,1448,Uzbekistan GTL plant U20,In order to replace the broken transmitter (120-PDT-1070B) with a new one.,1480,14/04/2023 4:32:59 PM,,18051,approved,,,,1480,14/03/2023 4:32:59 PM,1909,23/03/2023 2:39:35 PM,14/03/2023 4:32:59 PM,,33
91,159,1448,Uzbekistan GTL Plant,Spare Parts TECU 1 & 2,1453,17/03/2023 4:45:00 PM,,10,Approved as DMM is on vacation,,24/03/2023 12:00:00 AM,,1452,17/03/2023 4:45:00 PM,1913,26/05/2023 9:07:10 AM,17/03/2023 4:45:00 PM,,33
92,158,1448,Uzbekistan GTL,Mechanical Seals for ASU/SGU Rotating Equipment for normal operation,1661,15/04/2023 2:01:49 PM,,18040,,,15/04/2023 12:00:00 AM,,1661,18/03/2023 2:01:49 PM,1909,4/04/2023 9:38:21 AM,18/03/2023 2:01:49 PM,,33
93,160,1927,Uzbekistan GTL plant,,594,23/06/2023 12:00:00 AM,,18043,,,,,594,23/03/2023 1:36:53 PM,594,23/03/2023 1:49:33 PM,23/03/2023 1:36:53 PM,,33
94,161,1927,Uzbekistan GTL plant,,594,23/06/2023 1:51:40 PM,,18043,,,,,594,23/03/2023 1:51:40 PM,594,23/03/2023 1:55:33 PM,23/03/2023 1:51:40 PM,,33
95,162,1448,Uzbekistan GTL plant,Requistion raised as per ORD-21/172-2022,594,23/06/2023 1:55:49 PM,,18043,,,,,594,23/03/2023 1:55:49 PM,594,23/03/2023 2:04:15 PM,23/03/2023 1:55:49 PM,,33
96,163,1448,Uzbekistan GTL plant,"Providing necessary spare parts for the repair of control valves installed at the factory of ""Uzbekistan GTL"" LLC",594,1/06/2023 2:24:40 PM,,18043,"GBJ: lacking sufficient Tech Spec in Catalogue to enable purchase.  Provide Valve Serial Numbers, Drawings, part numbers and vendor if single source.  Atatched drawing and reference number for part on drawing",,,,594,23/03/2023 2:24:40 PM,1453,3/04/2023 1:34:34 PM,1/04/2023 2:24:40 PM,,33
97,164,1448,Uzbekistan GTL plant,,594,23/03/2023 2:24:40 PM,,,,,,,594,23/03/2023 2:24:40 PM,594,23/03/2023 5:22:16 PM,23/03/2023 2:24:40 PM,,
98,166,1448,Uzbekistan GTL plant,Condition monitoring tools. ,667,24/03/2023 10:49:15 AM,,18167,"For detail description please refer to attachment, approved technical specification",,,,667,24/03/2023 10:49:15 AM,1909,3/04/2023 9:37:02 AM,24/03/2023 10:49:15 AM,,35
99,171,,,,1892,27/03/2023 4:32:28 PM,,,,,,,1892,27/03/2023 4:32:28 PM,1892,27/03/2023 4:33:45 PM,27/03/2023 4:32:28 PM,,
100,174,1448,"""Uzbekistan GTL"" plant",Shurtan GKM dan olingan 40 % lik ishqor eritmasini 98% ishqor kukuni tarzida qaytarish uchun tovar-zaym shartomasini tuzish ,1920,27/03/2023 5:25:56 PM,,18083,,,,,1920,27/03/2023 5:25:56 PM,1909,3/04/2023 9:37:31 AM,27/03/2023 5:25:56 PM,,34
101,176,1448,Uzbekistan GTL,In order to recovery second 110-PC-071 LOX pump and for stock in the future,1661,29/03/2023 10:39:42 AM,,10,Document has been atached for more detail information,Document has been atached for more detail informat,1/04/2023 12:00:00 AM,,1661,29/03/2023 10:39:42 AM,1913,28/04/2023 12:07:44 PM,29/03/2023 10:39:42 AM,,33
102,177,1448,Uzbekistan GTL Plant,Zavod ehtiyoji uchun ,695,29/04/2023 3:16:15 PM,,18113,,,,,695,29/03/2023 3:16:15 PM,1909,3/04/2023 9:38:00 AM,29/03/2023 3:16:15 PM,,36
103,178,1448,Uzbekistan GTL Plant,BIRLAMCHI O'T O'CHIRISH VOSITALARINI QAYTA ZARYADLASH ,695,17/04/2023 3:25:37 PM,,18113,,,,,695,29/03/2023 3:25:37 PM,1909,3/04/2023 9:38:11 AM,29/03/2023 3:25:37 PM,,36
104,184,1448,Uzbekistan GTL Plant,Refractory materials for ATR & WHB,1674,15/01/2024 11:02:43 AM,,18057,"Approved, Needed for TAR 2024",,,,1674,31/03/2023 11:02:43 AM,1909,4/04/2023 3:56:54 PM,31/03/2023 11:02:43 AM,,33
105,186,1448,Uzbekistan GTL plant,to modification of GRP pileline in unit 71,619,30/04/2023 2:17:54 PM,,18033,,,,,619,31/03/2023 2:17:54 PM,1909,10/04/2023 5:49:42 PM,31/03/2023 2:17:54 PM,,33
106,193,1448,Uzbikistan GTL plant,Insulation material for  ,1463,31/03/2023 5:00:12 PM,,18037,,,31/03/2023 12:00:00 AM,,1463,31/03/2023 5:00:12 PM,1463,31/03/2023 5:30:25 PM,31/03/2023 5:00:12 PM,,33
107,194,1448,Uzbikistan GTL plant,Insulation material for plant maintenance  ,1463,2/04/2023 9:25:10 AM,,18037,Purchase can be made rely on technical specifications which is given in :ORD-51/700-2022,,2/04/2023 12:00:00 AM,,1463,2/04/2023 9:25:10 AM,1918,12/05/2023 6:06:40 PM,2/04/2023 9:25:10 AM,,33
108,196,1448,Uzbekistan GTL plant,oil replacement of pumps,1462,3/04/2023 9:55:39 AM,,18040,,,,,1462,3/04/2023 9:55:39 AM,1462,3/04/2023 10:09:59 AM,3/04/2023 9:55:39 AM,,33
109,197,1448,Uzbekistan GTL Plant,"Сыворотка против ядов змей ГЮРЗЫ, ЭФЫ, КОБРЫ. Сыворотка против яда паука КАРАКУРТА",695,3/04/2023 12:27:06 PM,,18116,,Muddati o'tgan dori vositalarini yangilash ,,,695,3/04/2023 12:27:06 PM,1909,4/04/2023 9:38:53 AM,3/04/2023 12:27:06 PM,,36
110,199,1448,Uzbekistan GTL LLC ,to ensure without interruption work of Process Dryer package (135-XP-002) ,1920,3/04/2023 12:41:40 PM,,18080,,,,,1920,3/04/2023 12:41:40 PM,1909,4/04/2023 9:41:02 AM,3/04/2023 12:41:40 PM,,34
111,198,1448,Uzbekistan GTL Plant,In order to maintain hermeticity and increase the coefficient of friction in PLFs' vibrator shaft and all o-ring mounted places.,1147,3/05/2023 12:00:00 AM,32976,10,,,,,1147,3/04/2023 12:34:21 PM,1909,10/04/2023 5:50:58 PM,3/04/2023 12:34:21 PM,,33
112,200,1448,Uzbekistan GTL Plant,Cluster Filter Assemblies sets for 130-VR-105/205 (FT reactors),1674,29/12/2023 12:00:00 AM,,18057,,,,,1674,3/04/2023 1:12:45 PM,1973,27/07/2023 11:52:48 AM,3/04/2023 1:12:45 PM,,33
113,201,1448,Tashkent office of UZGTL,Продление домена gtl.uz,1903,3/04/2023 2:53:27 PM,,18128,,,,,1903,3/04/2023 2:53:27 PM,1909,4/04/2023 9:39:11 AM,3/04/2023 2:53:27 PM,,36
