Work Order Spare ID,Work Order ID,Work Order Spare Description,Estimated Quantity,Estimated Unit Cost,Actual Quantity,UOMID,Work Order Component ID
7271,59889,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44635
7272,59890,Специальная форменная одежда ГОСТ 27575-87,4.0000000,43.6600000,0.0000000,8,
7273,59890,"Полуботинки GATOR со шнурком для ИТР ,ГОСТ 28507-99 UzTR.5-011:2017*",1.0000000,14.1909000,0.0000000,15,44636
7274,59890,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",3.0000000,18.2400000,0.0000000,15,44636
7275,59891,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44637
7276,59892,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44638
7277,59893,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44639
7278,59894,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44640
7279,59895,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44641
7280,59896,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44642
7281,59897,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44643
7282,59898,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44644
7283,59899,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44645
7284,59900,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44646
7285,59901,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44647
7286,59902,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44648
7287,59903,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44649
7288,59904,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44650
7289,59905,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44651
7290,59906,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44652
7291,59907,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44653
7292,59908,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44654
7293,59909,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44655
7294,59910,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44656
7295,59911,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44657
7296,59912,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44658
7297,59913,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44659
7298,59914,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44660
7299,59915,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44661
7300,59916,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44662
7301,59917,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44663
7302,59918,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44664
7303,59919,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44665
7304,59920,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44666
7305,59921,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44667
7306,59922,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44668
7307,59923,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44669
7308,59924,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44670
7309,59925,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44671
7310,44502,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,31761
7311,44505,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,31764
7312,59927,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44673
7313,44531,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,31790
7314,59928,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44674
7315,59929,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44674
7316,44532,Специальная одежда пиджаки,1.0000000,61.8183000,1.0000000,2,31791
7317,59930,ПРОЖЕКТОР СВЕТОДИОДНЫЙ BVP383 LED408/NW 300W 220- 240VNBGM,82.0000000,34.6400000,82.0000000,2,44676
7318,59930,Прожектор светодиодный LED - 400 Вт,27.0000000,30.3600000,27.0000000,2,44676
7319,59930,Осма қулф,50.0000000,3.7500000,50.0000000,2,44676
7320,43287,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7321,55840,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7322,43288,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7323,43290,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7324,43292,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7325,43294,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7326,59932,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44678
7327,44501,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31760
7328,59927,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7329,59924,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7330,44510,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31769
7331,43297,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7332,59923,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7333,59933,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44682
7334,59922,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7335,43301,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7336,44525,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31784
7337,59921,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7338,59920,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7339,44544,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31803
7340,59919,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44665
7341,43306,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,
7342,59934,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44684
7343,59918,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7344,44545,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31804
7345,59917,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7346,44550,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31809
7347,59916,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7348,59935,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44686
7349,59935,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44686
7350,59935,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44686
7351,59935,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44686
7352,59915,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7353,59914,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7354,44552,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,31811
7355,59913,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7356,59912,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7357,59911,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7358,59936,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44687
7359,59936,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44687
7360,59936,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44687
7361,59936,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44687
7363,59909,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7364,59908,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7365,59907,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7366,59906,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7367,59905,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7368,59904,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7369,59903,"Спец.обувь мужские для рабочих,ГОСТ 28507-99,UzTR.5-011:2017*",1.0000000,15.9449000,1.0000000,15,
7370,59902,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
7371,59901,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,
